cluster_id,notes
LP0776532_MichaelAnderson,"Arts-education Michael Anderson (Performing Arts + Specialist Studies in Education), externally confirmed as Prof Michael Anderson, USyd Faculty of Arts, ORCID 0000-0002-4489-673X, leads the Arts and Creative Education Research Network -- see manual_splits.csv/manual_splits_by_grant.csv entries for DP0665616_MichaelAnderson for the split this piece resulted from. Still flagged by is_suspicious_for2020() because Performing Arts/Specialist Studies in Education aren't a whitelisted division pair -- confirmed correct, not a whitelist bug worth chasing for one case."
DP1094070_JianLiu,"Nanotechnology-career Jian Liu (UQ->Curtin, Nanotechnology/Biomedical engineering/Industrial biotechnology/Materials engineering/Physical chemistry), user-determined one person -- see manual_splits.csv/manual_splits_by_grant.csv entries for DP1094070_JianLiu for the split this piece resulted from (Chemical Engineering piece LP150101158 split off as a different person). Still flagged by is_suspicious_for2020() because the FOR2020 divisions involved aren't fully mutually whitelisted -- confirmed correct."
DE140100200_YiLiu,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-9059-8269 on every grant; same institution -- see published review artifact for full per-grant detail."
DE190100994_YiZhang,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-7731-0301 on every grant; same institution -- see published review artifact for full per-grant detail."
DE250100485_XuanLi,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0003-1768-9556 on every grant; same institution -- see published review artifact for full per-grant detail."
DP0208510_DavidThomas,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Christopher Thomas, John Clement; same institution -- see published review artifact for full per-grant detail."
DP0209461_RichardWhite,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Geoffrey Clarke, Roger Powell -- see published review artifact for full per-grant detail."
DP0346540_HungNguyen,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0003-3373-8178 on every grant; shared co-investigator(s): Ananda Sanagavarapu, Ashley Craig -- see published review artifact for full per-grant detail."
DP0346745_AndrewSmith,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-0894-6883 on every grant; shared co-investigator(s): Erica Smith -- see published review artifact for full per-grant detail."
DP0452286_PaulSmith,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Deborah Kane; same institution -- see published review artifact for full per-grant detail."
DP0557523_AndrewWhite,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-9639-5200 on every grant; same institution -- see published review artifact for full per-grant detail."
DP0664638_NicholasMartin,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Margaret Wright -- see published review artifact for full per-grant detail."
DP0665216_YanLi,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-4694-4926 on every grant; shared co-investigator(s): Peng (Paul) Wen; same institution -- see published review artifact for full per-grant detail."
DP0666853_YueZhao,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-8925-9462 on every grant; same institution -- see published review artifact for full per-grant detail."
DP0774617_ChengvincentLee,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-5976-4601 on every grant; shared co-investigator(s): Kate Smith, Kate Smith-Miles; same institution -- see published review artifact for full per-grant detail."
DP0985120_ChaoChen,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-1201-2039 on every grant; same institution -- see published review artifact for full per-grant detail."
DP1094173_ShihchangWang,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Roger Fulton; same institution -- see published review artifact for full per-grant detail."
DP120100728_MatthewTaylor,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): Iain Suthers; same institution -- see published review artifact for full per-grant detail."
DP130101518_RichardWilson,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0003-0152-4394 on every grant; same institution -- see published review artifact for full per-grant detail."
DP130104332_YingWang,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-7160-5929 on every grant -- see published review artifact for full per-grant detail."
DP150100457_YanLiu,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-1612-779X on every grant; same institution -- see published review artifact for full per-grant detail."
DP180101051_JunShen,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0002-9403-7140 on every grant; shared co-investigator(s): Dongming Xu, Jianming Yong, Mahdi Fahmideh; same institution -- see published review artifact for full per-grant detail."
DP200102269_MingLi,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-7450-6205 on every grant; same institution -- see published review artifact for full per-grant detail."
DP200102571_YingZhang,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0001-6214-2440 on every grant; shared co-investigator(s): Keith Dear, Peng Bi; same institution -- see published review artifact for full per-grant detail."
DP240103024_YiLi,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0003-2226-5918 on every grant; same institution -- see published review artifact for full per-grant detail."
DP250101468_YongWang,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): same ORCID 0000-0003-3744-912X on every grant; shared co-investigator(s): Cordelia Selomulya; same institution -- see published review artifact for full per-grant detail."
LP0561954_AnthonySmith,"Blanket-confirmed 2026-08-23 (""all the others 'likely one' are just that""): shared co-investigator(s): John Kaldor -- see published review artifact for full per-grant detail."
