cluster_id_1,cluster_id_2,notes
DP0343717_DavidWalker,LP0989188_DavidWalker,"different people -- different institutions (Deakin University vs La Trobe University), zero co-investigator overlap across all grants on both sides (Lowe/Waters vs Kirkby/Altman/Garner). DP0343717 is the confirmed Deakin Professor of Australian Studies (see manual_confirmed_not_suspicious.csv history); LP0989188 is an unconnected different David Walker. 4u review 2026-08-26."
DP110100984_MarkBaker,LP0776387_MarkBaker,"different people -- zero co-investigator overlap across all 4 of DP110100984's grants (Beagley/McCluskey/Aitken/Swegen/Scott/Gibb/Loveland/McLaughlin/Hobbs/Harricks/Clulow/Grupen/Gharagozloo/Kelly/Varner/Field/Morris) vs LP0776387's 7 (Richardson/Guilhaus/Cavicchioli/Sava/Thomas/Kyrpides/Raftery). DP110100984 already has its own confirmed distinct ORCID (0000-0003-3933-9784, reproductive biology). Deliberately does NOT include a row for DP0557854_MarkBaker (the Macquarie proteomics ORCID 0000-0001-5858-4035) -- the user has an open, unconfirmed suspicion that LP0776387 could still be the same person via a national-facility-director connection to UNSW, and wants that left unresolved rather than settled. 4u review 2026-08-26."
DP0210133_JWilson,DP0450933_JohnWilson,"INDETERMINATE, not confirmed distinct -- ARC's raw grant record (DP0210133) shows ""Dr J Wilson (CI)"" alongside Prof Patrick Parkinson and Dr Judith Cashmore (University of Sydney) in the announcement snapshot only; dropped entirely from the current snapshot (which lists only Parkinson and Cashmore). No fuller given name was ever recorded anywhere for this person, and there is no remaining live ARC record to check -- permanently unrecoverable from available data, not evidence he is distinct from this specific candidate. Same reasoning applies to all 6 of DP0210133_JWilson's gap_candidates (one row each, this note). 4u review 2026-08-26."
DP0210133_JWilson,DP0452805_DavidWilson,"INDETERMINATE, not confirmed distinct -- see the DP0450933_JohnWilson row's note (same underlying reason: DP0210133's own investigator record is permanently unrecoverable, not distinctness evidence against this specific candidate). 4u review 2026-08-26."
DP0210133_JWilson,DP0666024_JillWilson,"INDETERMINATE, not confirmed distinct -- see the DP0450933_JohnWilson row's note. 4u review 2026-08-26."
DP0210133_JWilson,DP150100217_JeffreyWilson,"INDETERMINATE, not confirmed distinct -- see the DP0450933_JohnWilson row's note. 4u review 2026-08-26."
DP0210133_JWilson,DP160102326_WayneWilson,"INDETERMINATE, not confirmed distinct -- see the DP0450933_JohnWilson row's note. 4u review 2026-08-26."
DP0210133_JWilson,DP170100198_JacquelineWilson,"INDETERMINATE, not confirmed distinct -- see the DP0450933_JohnWilson row's note. 4u review 2026-08-26."
DP0345171_XiuhongWang,DP110101338_HongxiaWang,"INDETERMINATE, not confirmed distinct -- ARC's raw grant record (DP0345171) shows ""Dr Xiu-hong Wang (APD)"" alongside Dr Sue Firth and Prof Robert Baxter (University of Sydney) in the announcement snapshot only, dropped from the current snapshot (funding correspondingly cut from $300,000 to $111,986, consistent with an APD fellow who never took up the position). No career/publication trail is tied to this specific ARC record, so it's permanently unrecoverable from available data -- not evidence of distinctness. Separately, and independently: ""Hongxia"" and ""Xiu-hong"" are not spelling variants of the same given name, which does suggest a genuinely different person, though this row's primary basis is the indeterminacy, not that observation alone. 4u review 2026-08-26."
DP160100119_JianZhao,DP0452443_JianxinZhao,"different people -- DP160100119_JianZhao confirmed via ORCID 0000-0001-9829-784X (Prof Jian Zhao, Monash University Civil & Environmental Engineering) -- exact institution and field match. DP0452443_JianxinZhao is a 9-grant earth-sciences/archaeology geoscientist at ANU/Sydney/UNSW, not Monash, not civil engineering -- different given-name form (""Jian-xin"" not ""Jian""), different field, different institution. 4u review 2026-08-26."
LP160100828_RobertEvans,LP240100489_JohnEvans,"different people -- LP160100828_RobertEvans confirmed via ORCID 0000-0003-1998-2537 (Robert Evans, Swinburne University of Technology, Senior Lecturer/Deputy Chair Civil and Construction Engineering since 1996, specialty Geotechnical Engineering/Expansive Soils/Pavement Roughness -- exact field match with LP160100828's own ""Civil engineering"" code, and with co-investigators Mahdi Disfani/Guillermo Narsilio, genuine Melbourne geotechnical engineering researchers, a coherent cross-institution ARC Linkage collaboration). Different given name (""Robert"" not ""John""). 4u review 2026-08-26."
DP0879596_JoshuaGreen,DP1093572_JGreen,"different people -- three different institutions across the whole trio (Joshua Green: Queensland University of Technology, Creative and professional writing; Jeremy Green [LP210300960]: University of Western Australia, Heritage/archive/museum studies; J Green [DP1093572, 2 grants]: University of Sydney, Historical studies), none overlapping. J Green is only ""compatible"" with either full name because a bare initial can't discriminate -- no positive evidence connects any pair. 4u review 2026-08-26."
LP210300960_JeremyGreen,DP1093572_JGreen,"different people -- see the DP0879596_JoshuaGreen row's note (same trio, same reasoning: three non-overlapping institutions, no positive evidence connecting Jeremy Green [UWA] to J Green [Sydney]). 4u review 2026-08-26."
LP0883437_PatriciaBrown,DP170101555_JillBrown,"different people, biography-only confirmation (no ORCID exists for Patricia Brown -- same precedent as DP0343717_DavidWalker) -- Dr Patricia Margaret Brown, clinical/forensic psychologist, former Director of the Children's Court Clinic (Victoria), Principal/Honorary Fellow at the University of Melbourne coordinating courses in child forensic psychology. Institution matches LP0883437's own inst_arr exactly (University of Melbourne); ""Specialist studies in education"" is a plausible ARC classification for a Linkage Project on forensic-psychology training/curriculum. Different given name from Jill Brown, and now a decisively separate identity. 4u review 2026-08-26."
LP0347295_PeterJamesSmith,DE120101580_PeterSmith,"different people -- already documented in CLAUDE.md's 2026-08-23 session: DE120101580_PeterSmith is the confirmed Monash health economist (ORCID 0000-0001-8286-4563, Institute for Work and Health Toronto, Health services/Epidemiology/Demography FOR profile); LP0347295_PeterJamesSmith is the RMIT statistician (Statistics/Banking-finance), already separated from the health economist via manual_splits_by_grant.csv in that same session. No new investigation needed, recording here to stop the pair resurfacing in 4u. 2026-08-26."
LP150100994_PengWang,DE150101755_PengYuanWang,"different people -- already documented in CLAUDE.md's 2026-08-24 session: DE150101755_PengYuanWang is the confirmed Swinburne DECRA fellow (real news article found -- ""Dr Peng-Yuan (George) Wang,"" stem-cell/nanofabrication researcher). LP150100994_PengWang is a separate, unconfirmed Communications engineering researcher with no evidence connecting the two beyond a truncated-name coincidence. No new investigation needed, recording here to stop the pair resurfacing in 4u. 2026-08-26."
LP0775312_ANg,LP0776267_AlexNg,"different people -- both single-eligible-org grants (n_eligible_orgs=1), so institution is reliable evidence here: A Ng is at Griffith University with co-investigators Nava Subramaniam/Arthur Shulman/Jennifer Stewart (accounting/strategy-management context); Alex Ng is at Macquarie University with co-investigators Paul Watters/Brett Watson/Mark Dras/Stephen Cassidy/Stephen McCombie/Ben Reardon/Josef Pieprzyk (a cybersecurity/cryptography team -- Pieprzyk and Watters are well-known Macquarie security researchers -- consistent with the Criminology FOR code). Zero co-investigator overlap, different institutions, different fields. 4u review 2026-08-26."
DP0210065_JingLi,DP120100139_JingliangLi,"different people -- a batch merge of this pair was applied then reversed the same session after the user caught that it hadn't actually been individually verified (see manual_merges.csv history/CLAUDE.md for the full correction). Checked properly: DP0210065_JingLi is at University of Sydney (2002) with co-investigators Gao Lu/Huai Yong Zhu/Ray Frost/Zhaohui Han (a chemistry/materials context); DP120100139_JingliangLi is at Deakin University (2012) with co-investigators Xungai Wang (ORCID 0000-0002-3549-6769)/Rangam Rajkhowa (ORCID 0000-0002-6811-9126)/Xiangyang Liu -- well-known Deakin textile/fibre-materials researchers. Zero co-investigator overlap, different institutions, 10-year gap, and ""Jing"" vs ""Jingliang"" are genuinely different given names, not a truncation of one another -- same false-positive shape as the confirmed Jian Zhao/Jianxin Zhao case. 4u review 2026-08-26."
DP0344447_AlisonMoore,DP190101457_AlisonDownhamMoore,"different people, user-confirmed -- DP0344447_AlisonMoore (APD, Macquarie University, 2003, Linguistics, co-investigators John Cartmill/David Butt) vs DP190101457_AlisonDownhamMoore (Western Sydney University, 2019, ORCID 0000-0002-9642-1437). Zero co-investigator overlap, different institution, 16-year gap. 4u review 2026-08-26."
DP1095998_HuaChen,DE140101143_ZhongHuaChen,"different people, user-confirmed -- DP1095998_HuaChen (APD, ANU, 2010, PI Wenhui Duan) vs DE140101143_ZhongHuaChen (DECRA, Western Sydney University, 2014, ORCID 0000-0002-7531-320X). Zero co-investigator overlap, different institution. 4u review 2026-08-26."
LP0209231_WeiXu,DP150104719_WeiXu,"different people, user-confirmed -- LP0209231_WeiXu (University of Sydney, 2002, co-investigators Paul Blazkiewicz/Pamela McNamara/Sylvia French/Simon Fleming/Justin Blows) vs DP150104719_WeiXu (RMIT University, 2015, co-investigators Qian Ma/Milan Brandt/Zi-Kui Liu). Zero co-investigator overlap, different institution, 13-year gap. Common name. 4u review 2026-08-26."
LP120100700_JuanNieto,DP0666065_JuanGonzalezNieto,"different people, user-confirmed -- LP120100700_JuanNieto (University of Sydney, 2012, co-investigators Graham Brooker/Eduardo Nebot -- well-known Sydney ACFR field-robotics researchers) vs DP0666065_JuanGonzalezNieto (QUT, 2006, co-investigators Colin Boyd/Kenneth Paterson -- well-known cryptography researchers). Robotics vs cryptography, zero co-investigator overlap, different institution. 4u review 2026-08-26."
